=== Starting Judgment Formatting Batch Job ===
(node:50174) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
Found 234837 judgments to format.
Processing in batches of 50...
Progress: 50 / 234837 | Success: 40 | Failed: 10 (0.0%)
Progress: 100 / 234837 | Success: 85 | Failed: 15 (0.0%)
Progress: 150 / 234837 | Success: 128 | Failed: 22 (0.1%)
Progress: 200 / 234837 | Success: 171 | Failed: 29 (0.1%)
Progress: 250 / 234837 | Success: 208 | Failed: 42 (0.1%)
Progress: 300 / 234837 | Success: 248 | Failed: 52 (0.1%)
Progress: 350 / 234837 | Success: 288 | Failed: 62 (0.1%)
Progress: 400 / 234837 | Success: 319 | Failed: 81 (0.2%)
Progress: 450 / 234837 | Success: 351 | Failed: 99 (0.2%)
Progress: 500 / 234837 | Success: 385 | Failed: 115 (0.2%)
Progress: 550 / 234837 | Success: 429 | Failed: 121 (0.2%)
Progress: 600 / 234837 | Success: 460 | Failed: 140 (0.3%)
Progress: 650 / 234837 | Success: 502 | Failed: 148 (0.3%)
Progress: 700 / 234837 | Success: 550 | Failed: 150 (0.3%)
Progress: 750 / 234837 | Success: 593 | Failed: 157 (0.3%)
Progress: 800 / 234837 | Success: 635 | Failed: 165 (0.3%)
Progress: 850 / 234837 | Success: 678 | Failed: 172 (0.4%)
Progress: 900 / 234837 | Success: 728 | Failed: 172 (0.4%)
Progress: 950 / 234837 | Success: 776 | Failed: 174 (0.4%)
Progress: 1000 / 234837 | Success: 824 | Failed: 176 (0.4%)
Progress: 1050 / 234837 | Success: 872 | Failed: 178 (0.4%)
Progress: 1100 / 234837 | Success: 922 | Failed: 178 (0.5%)
Progress: 1150 / 234837 | Success: 972 | Failed: 178 (0.5%)
Progress: 1200 / 234837 | Success: 1021 | Failed: 179 (0.5%)
Progress: 1250 / 234837 | Success: 1071 | Failed: 179 (0.5%)
Progress: 1300 / 234837 | Success: 1120 | Failed: 180 (0.6%)
Progress: 1350 / 234837 | Success: 1168 | Failed: 182 (0.6%)
Progress: 1400 / 234837 | Success: 1216 | Failed: 184 (0.6%)
Progress: 1450 / 234837 | Success: 1265 | Failed: 185 (0.6%)
Progress: 1500 / 234837 | Success: 1313 | Failed: 187 (0.6%)
Progress: 1550 / 234837 | Success: 1360 | Failed: 190 (0.7%)
Progress: 1600 / 234837 | Success: 1407 | Failed: 193 (0.7%)
Progress: 1650 / 234837 | Success: 1457 | Failed: 193 (0.7%)
Progress: 1700 / 234837 | Success: 1507 | Failed: 193 (0.7%)
Progress: 1750 / 234837 | Success: 1557 | Failed: 193 (0.7%)
Progress: 1800 / 234837 | Success: 1607 | Failed: 193 (0.8%)
Progress: 1850 / 234837 | Success: 1654 | Failed: 196 (0.8%)
Progress: 1900 / 234837 | Success: 1701 | Failed: 199 (0.8%)
Progress: 1950 / 234837 | Success: 1749 | Failed: 201 (0.8%)
Progress: 2000 / 234837 | Success: 1796 | Failed: 204 (0.9%)
Progress: 2050 / 234837 | Success: 1843 | Failed: 207 (0.9%)
Progress: 2100 / 234837 | Success: 1889 | Failed: 211 (0.9%)
Progress: 2150 / 234837 | Success: 1939 | Failed: 211 (0.9%)
Progress: 2200 / 234837 | Success: 1988 | Failed: 212 (0.9%)
Progress: 2250 / 234837 | Success: 2035 | Failed: 215 (1.0%)
Progress: 2300 / 234837 | Success: 2082 | Failed: 218 (1.0%)
Progress: 2350 / 234837 | Success: 2129 | Failed: 221 (1.0%)
Progress: 2400 / 234837 | Success: 2176 | Failed: 224 (1.0%)
Progress: 2450 / 234837 | Success: 2222 | Failed: 228 (1.0%)
Progress: 2500 / 234837 | Success: 2266 | Failed: 234 (1.1%)
Progress: 2550 / 234837 | Success: 2310 | Failed: 240 (1.1%)
Progress: 2600 / 234837 | Success: 2360 | Failed: 240 (1.1%)
Progress: 2650 / 234837 | Success: 2410 | Failed: 240 (1.1%)
Progress: 2700 / 234837 | Success: 2459 | Failed: 241 (1.1%)
Progress: 2750 / 234837 | Success: 2508 | Failed: 242 (1.2%)
Progress: 2800 / 234837 | Success: 2557 | Failed: 243 (1.2%)
Progress: 2850 / 234837 | Success: 2607 | Failed: 243 (1.2%)
Progress: 2900 / 234837 | Success: 2655 | Failed: 245 (1.2%)
